airport,le_ident,he_ident,lat,lon,true_bearing_deg,declination_2026_deg,residual_2026_deg,residual_1976_deg,went_wrong_year
12TT,2,20,33.59375,-97.10112,21.589,2.745,-1.156,-6.252,
12WV,18,36,38.34403,-82.11213,169.182,-7.602,-3.215,-7.257,
12WV,6,24,38.34352,-82.11044,48.97,-7.603,-3.427,-7.468,
13ME,09,27,45.7764,-69.8093,75.962,-15.075,1.037,4.534,
13NC,01,19,35.02835,-77.24925,0.429,-10.071,0.5,-3.021,
13NC,05,23,35.0305,-77.2586,44.402,-10.067,4.469,0.945,
13Y,09,27,48.4083,-93.5794,89.995,-0.118,0.113,-4.96,
14AZ,06,24,31.90835,-111.1225,70.627,9.092,1.535,-1.894,
14MS,03,21,32.3453,-89.0342,30.168,-2.395,2.563,-3.015,
14MS,08,26,32.34525,-89.03415,79.763,-2.395,2.158,-3.42,
14NC,05,23,34.50725,-77.55515,52.577,-9.844,12.421,8.681,1902.66
14OI,07,25,40.91925,-82.11405,61.147,-7.944,-0.908,-4.339,
14S,12,30,46.89695,-124.101,138.824,15.025,3.798,-2.414,
14TS,16,34,27.4217,-98.6045,159.91,3.529,-3.618,-8.227,
14WS,15,33,45.778,-91.5585,140.165,-1.518,-8.317,-13.141,
15AR,14,32,34.8259,-90.5433,144.751,-1.532,6.284,0.828,2011.19
15FL,09,27,30.15,-82.6633,89.998,-6.349,6.347,0.838,2009.24
15FL,18,36,30.15375,-82.6664,180.0,-6.347,6.347,0.838,2009.23
15G,03,21,41.0284,-81.7985,23.239,-8.168,1.407,-1.901,
15MN,05,23,45.2622,-94.51065,50.265,0.84,-0.575,-5.901,
16A,18,36,60.906,-162.4405,192.891,8.822,4.07,-5.58,
16S,03,21,42.9973,-123.3155,48.173,14.074,4.099,-0.911,
16X,17,35,33.0807,-97.3589,170.433,2.894,-2.461,-7.51,
17FL,09,27,29.2906,-82.1305,89.997,-6.589,6.586,1.022,2007.03
17FL,18,36,29.28025,-82.1248,180.0,-6.592,6.592,1.027,2006.98
17TX,17,35,32.44875,-98.255,175.534,3.405,2.129,-2.796,
17XS,01,19,32.17775,-98.43505,20.313,3.501,6.812,1.921,2008.55
18AZ,06,24,33.81805,-111.898,71.764,9.62,2.144,-1.46,
18K,03,21,37.3843,-100.186,30.612,4.682,-4.07,-9.12,
18TA,16,34,30.1363,-99.74365,159.843,4.161,-4.318,-8.93,
18TE,08,26,32.5852,-95.06395,90.825,1.504,9.321,4.069,1983.84
18Y,16,34,45.7722,-93.6326,161.66,0.127,1.533,-3.659,
19AR,09,27,35.1567,-92.22425,92.425,-0.407,2.832,-2.591,
19AZ,17,35,34.605,-111.8655,174.635,9.728,-5.093,-8.808,
19MT,6,24,46.83807,-108.93683,70.343,10.313,0.03,-6.19,
1A2,17,35,47.11225,-97.2084,180.0,2.848,7.152,1.447,2002.56
1AZ0,09,27,33.10015,-112.2665,101.191,9.628,1.563,-1.913,
1C8,18,36,42.292,-89.1361,180.0,-3.07,3.07,-1.696,
1CD2,08,26,40.1672,-104.7925,80.572,7.438,-6.866,-11.899,
1CO5,08,26,38.0154,-103.7025,94.45,6.679,7.771,2.929,2000.59
1CO5,18,36,38.015,-103.699,193.476,6.677,6.8,1.958,2008.5
1D2,18,36,42.34785,-83.4563,177.326,-7.239,4.565,1.108,
1D4,09,27,40.99255,-81.4316,90.89,-8.402,9.292,6.086,1964.42
1D6,12,30,44.7309,-94.7113,125.788,1.018,4.77,-0.584,
1G8,16,34,40.4699,-80.6251,159.768,-8.84,8.608,5.509,1970.91
1H4,17,35,42.4197,-74.0069,180.0,-12.767,22.767,22.876,
1H9,01,19,45.83555,-91.8027,11.406,-1.328,2.734,-2.133,
1K1,17,35,37.77515,-97.11325,176.073,2.795,3.277,-1.984,
1K6,17,35,38.3728,-98.59865,179.361,3.752,5.609,0.392,2019.08
1LS0,17,35,30.224,-90.88205,174.047,-1.053,5.1,-0.473,2025.31
1M8,09,27,41.83905,-71.02645,73.715,-13.851,-2.434,-1.282,
1MS8,13,31,32.9402,-88.5792,133.007,-2.741,5.748,0.201,2016.88
1MY1,09,27,45.9853,-96.19445,93.691,2.103,1.587,-3.946,
1N5,08,26,38.4142,-75.61945,63.386,-11.354,-5.26,-7.262,
1N5,17,35,38.4116,-75.61495,154.637,-11.356,-4.007,-6.007,
1O6,14,32,41.26305,-122.272,156.335,13.546,2.789,-1.772,
1Q1,13,31,36.1624,-119.0505,153.13,11.92,11.21,7.669,
1Q5,01,19,39.4507,-122.9545,29.487,13.281,6.206,2.08,2012.94
1S2,10,28,48.2586,-121.61,109.771,14.905,-5.134,-11.822,
1S6,01,19,48.1907,-116.9095,35.358,13.722,11.636,4.984,1976.12
1S7,11,29,45.6718,-116.3055,135.554,13.043,12.511,6.685,1943.82
1TE1,13,31,28.25025,-99.817,136.056,4.152,1.904,-2.58,
1TS9,17,35,33.36864,-96.75469,180.638,2.535,8.103,2.983,1997.0
1U0,06,24,42.97535,-113.351,70.35,11.578,-1.229,-6.393,
1U1,01,19,46.12635,-114.9215,33.382,12.683,10.699,4.721,1978.17
1U3,12,30,43.21595,-116.5485,133.715,12.647,1.068,-4.073,
1U4,14,32,44.978,-116.284,154.648,12.904,1.744,-3.879,
1U6,16,34,42.2339,-113.878,180.0,11.634,8.366,3.391,1996.98
1VA1,08,26,36.73615,-80.4454,71.744,-8.451,0.195,-3.793,
1VA8,13,31,36.86195,-78.4094,126.618,-9.664,6.282,2.888,1993.71
